date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2024-06-01,-53.9,-74.2,725000261,1.6699,1.6699
2024-06-01,-53.9,-74.3,725000261,0.3005,0.3005
2024-06-01,-53.9,-71.1,725002350,0.0836,0
2024-06-01,-53.9,-71,725002350,0.833,0
2024-06-01,-53.8,-38,665111132,0.4841,0
2024-06-01,-53.8,-38.1,665111132,0.1311,0
2024-06-01,-53.8,-61.9,701000627,0.0438,0
2024-06-01,-53.8,-62.1,701000627,0.1311,0
2024-06-01,-53.8,-62,701000627,0.5911,0
2024-06-01,-53.8,-74.3,725000261,1.6649,1.6649
2024-06-01,-53.8,-70.9,725002350,0.5011,0
2024-06-01,-53.8,-71,725002350,0.3005,0
2024-06-01,-53.7,-37.9,665111132,0.4202,0
2024-06-01,-53.7,-37.8,665111132,0.2233,0
2024-06-01,-53.7,-38,665111132,0.3116,0
2024-06-01,-53.7,-61.8,701000627,0.2172,0
2024-06-01,-53.7,-61.9,701000627,0.5838,0
2024-06-01,-53.7,-74.3,725000261,0.2816,0.2816
2024-06-01,-53.7,-74.4,725000261,0.9236,0.6302
2024-06-01,-53.7,-70.9,725002350,1.0152,0
2024-06-01,-53.6,-37.8,665111132,4.3986,2.3702
2024-06-01,-53.6,-37.6,665111132,8.5661,6.3144
2024-06-01,-53.6,-37.5,665111132,0.4694,0.2005
2024-06-01,-53.6,-37.7,665111132,7.5727,5.8227
2024-06-01,-53.6,-37.9,665111132,0.9827,0.7574
2024-06-01,-53.6,-61.6,701000627,1.248,1.248
2024-06-01,-53.6,-61.5,701000627,0.9888,0.9888
2024-06-01,-53.6,-61.8,701000627,1.1416,1.1252
2024-06-01,-53.6,-61.7,701000627,1.1477,1.1477
2024-06-01,-53.6,-74.4,725000261,0.7811,0
2024-06-01,-53.6,-52.2,725000896,2.8666,2.3722
2024-06-01,-53.6,-52.3,725000896,3.1383,2.7877
2024-06-01,-53.6,-52.4,725000896,3.5786,0
2024-06-01,-53.6,-52,725000896,0.1138,0.1138
2024-06-01,-53.6,-52.5,725000896,0.4358,0
2024-06-01,-53.6,-52.1,725000896,3.4591,3.0727
2024-06-01,-53.6,-70.9,725002350,0.7944,0
2024-06-01,-53.5,-72.8,412328785,0.7086,0
2024-06-01,-53.5,-72.9,412328785,0.2341,0
2024-06-01,-53.5,-52.1,725000896,0.3475,0
2024-06-01,-53.5,-51.8,725000896,3.1488,2.8163
2024-06-01,-53.5,-51.9,725000896,3.1088,2.6474
2024-06-01,-53.5,-52,725000896,2.7852,2.2861
2024-06-01,-53.5,-52.3,725000896,0.67,0
2024-06-01,-53.5,-52.2,725000896,0.2027,0
2024-06-01,-53.5,-52.4,725000896,0.1436,0
2024-06-01,-53.5,-70.9,725002350,0.8055,0
2024-06-01,-53.4,-73.1,412328785,0.5166,0
2024-06-01,-53.4,-73.2,412328785,0.268,0
2024-06-01,-53.4,-73,412328785,0.8491,0
2024-06-01,-53.4,-73.2,412549052,0.0611,0
2024-06-01,-53.4,-73,412549052,0.3099,0
2024-06-01,-53.4,-73.1,412549052,0.418,0
2024-06-01,-53.4,-70.9,725002350,1.0663,0
2024-06-01,-53.3,-73.4,412328785,0.1983,0
2024-06-01,-53.3,-73.2,412328785,0.0855,0
2024-06-01,-53.3,-73.3,412328785,0.6475,0
2024-06-01,-53.3,-73.4,412549052,0.1022,0
2024-06-01,-53.3,-73.3,412549052,0.5166,0
2024-06-01,-53.3,-73.2,412549052,0.3877,0
