image_id,detection_confidence,image_timestamp,detection_source,mmsi,vessel_name,vessel_flag,vessel_type,vessel_id,detection_lat,detection_lon,fishing_event_lat,fishing_event_lon,event_start,event_end,event_id,event_type,event_duration_hours,potential_risk,is_high_risk,eez_regions,rfmo_regions,fao_regions,mpa_regions,distance_from_shore_km,distance_from_port_km,total_distance_km,average_speed_knots,ingested_at,fishing_processed_at,detection_processed_at,ship_image_url
71,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,368098370,REBEL,USA,,368098370,54.1,-165.8000030517578,54.1,-165.8000030517578,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0071,vessel_presence,6.0,true,false,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
72,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,371450000,MSC CARINA,PAN,,371450000,15.4,92.0,14.9,92.30000305175781,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0072,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
73,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,371542000,NO1 POHAH,PAN,,371542000,51.9,-176.60000610351562,51.9,-176.60000610351562,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0073,vessel_presence,6.0,true,false,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
74,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,372231000,GREAT WALL 9,PAN,,372231000,-17.2,38.79999923706055,-17.1,38.70000076293945,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0074,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
75,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,372291000,SUNNY FAITH,PAN,,372291000,-19.9,35.099998474121094,-19.9,35.099998474121094,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0075,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
76,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,373311000,NEW HARMONY,PAN,,373311000,-0.9,171.1999969482422,-0.9,171.1999969482422,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0076,vessel_presence,6.0,true,false,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
77,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,373402000,GRAMPUS DIGNITY,PAN,,373402000,-19.8,35.20000076293945,-19.8,35.20000076293945,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0077,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
78,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,400000253,CANG LONG,,,400000253,21.3,109.69999694824219,21.3,109.80000305175781,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0078,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
79,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,403516001,NCC DANAH,SAU,,403516001,10.7,45.0,11.5,45.29999923706055,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0079,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
80,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,405000199,ZUHAYR,BGD,,405000199,13.9,87.0,13.2,86.5,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0080,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
81,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,412017790,JIN HANG TING 41,CHN,,412017790,5.6,0.0,5.6,0.0,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0081,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
82,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,412043580,SANHANGSHAZHUANG3,CHN,,412043580,29.9,122.19999694824219,29.9,122.19999694824219,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0082,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
83,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,412200335,GUOJI901,CHN,,412200335,-47.0,-60.70000076293945,-47.0,-60.70000076293945,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0083,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
84,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,412329692,LU QING YUAN YU 210,CHN,,412329692,-43.1,-58.599998474121094,-42.4,-58.20000076293945,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0084,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
85,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,412329698,LURONGYUANYU679,CHN,,412329698,-46.5,-60.70000076293945,-46.6,-60.70000076293945,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0085,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
86,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,412331073,HUA YING 98,CHN,,412331073,-42.1,-58.099998474121094,-42.1,-58.0,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0086,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
87,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,412380480,DONGHAIJIU117,CHN,,412380480,21.7,112.19999694824219,21.7,112.19999694824219,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0087,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
88,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,412412717,ZHELINGYUYUN61038,CHN,,412412717,28.5,125.4000015258789,29.0,125.9000015258789,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0088,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
